,created_at,hours,full_text
0,2021-02-06 20:22:38+00:00,20.377222222222223,"RT @RepEscobar: Our country has the moral obligation and responsibility to reunite every single family separated at the southern border.

T…"
1,2021-02-06 20:16:39+00:00,20.2775,"RT @RoKhanna: What happens when we guarantee $15/hour?

💰 31% of Black workers and 26% of Latinx workers get raises.
😷 A majority of essent…"
2,2021-02-06 20:07:35+00:00,20.12638888888889,(Source: https://t.co/3o5JEr6zpd)
3,2021-02-06 20:07:07+00:00,20.11861111111111,"Joe Cunningham pledged to never take corporate PAC money, and he never did. Mace said she’ll cash every check she gets. Yet another way this is a downgrade. https://t.co/DytsQXKXgU"
4,2021-02-06 20:03:06+00:00,20.051666666666666,"What’s even more gross is that Mace takes corporate PAC money.

She’s already funded by corporations. Now she’s choosing to swindle working people on top of it.

Peak scam artistry. Caps for cash 💰 https://t.co/CcVxgDF6id"
5,2021-02-06 19:34:53+00:00,19.58138888888889,"Joe Cunningham already proving to be leagues more decent + honest than Mace seems capable of.

The House was far better off w/ Cunningham. It’s sad to see Mace diminish the representation of her community by launching a reputation of craven dishonesty right off the bat."
6,2021-02-06 19:25:13+00:00,19.42027777777778,"Pretty horrible.

Well, it’s good to know what kind of person she is early. Also good to know that Mace is cut from the same Trump cloth of dishonesty and opportunism.

Sad to see a colleague intentionally hurt other women and survivors to make a buck. Thought she’d be better. https://t.co/CcVxgDF6id"
7,2021-02-06 19:06:54+00:00,19.115000000000002,RT @jaketapper: .@RepNancyMace fundraising off the false smear that @AOC misrepresented her experience during the insurrection. She didn’t.…
8,2021-02-06 19:03:37+00:00,19.060277777777777,"RT @RepMcGovern: One reason Washington can’t “come together” is because of people like her sending out emails like this.

She should apolog…"
9,2021-02-06 00:38:35+00:00,0.6430555555555555,"RT @JoeNeguse: Just to be clear, “targeting” stimulus checks means denying them to some working families who would otherwise receive them."
10,2021-02-06 00:07:28+00:00,0.12444444444444444,"Amazon workers have the right to form a union.

Anti-union tactics like these, especially from a trillion-dollar company trying to disrupt essential workers from organizing for better wages and dignified working conditions in a pandemic, are wrong. https://t.co/nTDqMUapYs"
11,2021-02-05 23:40:24+00:00,23.673333333333336,"RT @WorkingFamilies: Voters elected Democrats to deliver more relief, not less."
12,2021-02-05 23:29:53+00:00,23.498055555555556,We should preserve what was there and not peg it to outdated 2019 income. People need help!
13,2021-02-05 23:05:52+00:00,23.097777777777775,"If conservative Senate Dems institute a lower income threshold in the next round of checks, that could potentially mean the first round of checks under Trump help more people than the first round under Biden.

Do we want to do that? No? Then let’s stop playing &amp; just help people."
14,2021-02-05 23:00:29+00:00,23.008055555555554,"@iamjoshfitz 😂 call your member of Congress, they can help track it down"
15,2021-02-05 22:23:05+00:00,22.384722222222223,"All Dems need for the slam dunk is to do what people elected us to do: help as many people as possible.

It’s not hard. Let’s not screw it up with austerity nonsense that squeezes the working class yet never makes a peep when tax cuts for yachts and private jets are proposed."
16,2021-02-05 22:10:35+00:00,22.17638888888889,"It should be $2000 to begin w/ anyway. Brutally means-testing a $1400 round is going to hurt so many people. THAT is the risk we can’t afford.

Income thresholds already work in reverse &amp; lag behind reality. Conservative Dems can ask to tax $ back later if they’re so concerned."
17,2021-02-05 22:04:36+00:00,22.076666666666668,"We cannot cut off relief at $50k. It is shockingly out of touch to assert that $50k is “too wealthy” to receive relief.

Millions are on the brink of eviction. Give too little and they’re devastated. Give “too much” and a single mom might save for a rainy day. This isn’t hard. https://t.co/o14r3phJeH"
18,2021-02-05 21:01:37+00:00,21.026944444444442,"Imagine being a policymaker in Washington, having witnessed the massive economic, social, and health destruction over the last year, and think that the greatest policy risk we face is providing *too much* relief.

Sounds silly, right?

$1.9T should be a floor, not a ceiling."
19,2021-02-05 16:03:15+00:00,16.054166666666667,@AndrewYang @TweetBenMax @RitchieTorres Thanks @AndrewYang! Happy to chat about the plan details and the community effort that’s gone into this legislation. 🌃🌎
